
Data sent to Vercel successfully: {'date': '2025-01-18T17:37:50.973334', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.168, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:55.165394', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.19, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:03.581303', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.185, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:11.997348', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.178, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:20.413370', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.174, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:28.829397', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.169, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:37.245365', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.165, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:45.661365', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.161, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:42:54.077418', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.158, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:02.493757', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.154, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:10.909326', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.151, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:19.325328', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.15, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:27.741361', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.145, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:36.159284', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.143, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:44.573373', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.14, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:43:52.989435', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.139, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:01.409406', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.134, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:09.853299', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.134, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:18.269336', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.13, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:26.685328', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.131, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:35.101717', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.129, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:43.517344', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.126, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:44:51.933386', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.125, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:00.349316', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.126, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:08.765091', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.122, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:17.181338', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.124, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:25.597330', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.121, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:34.013355', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.122, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:42.429406', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.119, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:50.845475', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.118, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:45:59.261422', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:07.677117', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.124, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:16.093392', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.142, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:24.509397', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.171, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:32.927726', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.157, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:41.341413', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.155, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:49.757500', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.145, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:46:58.173441', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.143, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:06.589435', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.14, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:15.008252', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.136, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:23.421378', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.133, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:31.837338', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.129, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:40.253427', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.125, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:48.669409', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.125, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:47:57.088807', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.121, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:05.533092', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.119, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:13.983922', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:22.397423', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:30.813411', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.112, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:39.229360', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.11, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:47.645358', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
